User ID,Ethnicity,Gender,Education,Party,Topic,In Support,Similarity1,Similarity2,Similarity3,Similarity4,Similarity5,Similarity6,Similarity7,Similarity8,Similarity9,Similaritymax3,Similaritymax5
200006110,White,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0.1515,0.3648,0.1398,0.1361,0.1464,0.0425,0.1816,0.2199,0.2337,0.3648,0.2337
200006161,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0.2715,0.223,0.2191,0.2486,0.2467,0.2515,0.1707,0.1798,0.1596,0.2486,0.2515
300000014,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.5706,0.345,0.5849,0.5169,0.5784,0.6885,0.5586,0.1614,0.4577,0.5849,0.6885
300000018,All Other,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.1023,0.1627,0.0874,0.1527,0.1568,0.0797,-0.027,0.0473,0.091,0.1627,0.1568
300000049,White,Woman,Post-Grad,D,Increasing size of House of Representatives,FALSE,0.1977,0.1224,0.258,0.2682,0.1311,0.171,0.1724,0.3007,0.2101,0.2682,0.3007
300000052,White,Woman,4-Year,I,Increasing size of House of Representatives,FALSE,0.3556,0.292,0.3751,0.3657,0.3767,0.3746,0.3802,0.1886,0.3931,0.3751,0.3931
300000088,White,Man,HS or Less,D,Increasing size of House of Representatives,FALSE,0.3943,0.1473,0.4512,0.5191,0.29,0.344,0.3446,0.3119,0.3638,0.5191,0.3638
300000098,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0.3491,0.2992,0.3484,0.4474,0.311,0.3515,0.359,0.2205,0.3538,0.4474,0.359
300000120,Hispanic,Woman,HS or Less,D,Increasing size of House of Representatives,FALSE,-0.0724,0.2428,-0.0639,-0.069,0.0423,-0.0724,-0.0513,0.0445,-0.0724,0.2428,0.0445
300000159,Black,Woman,Post-Grad,D,Increasing size of House of Representatives,FALSE,0.3137,0.2893,0.268,0.392,0.2589,0.2333,0.2821,0.3433,0.3696,0.392,0.3696
300000219,White,Man,HS or Less,I,Increasing size of House of Representatives,FALSE,0.2863,0.4928,0.2693,0.3448,0.2441,0.2117,0.2136,0.2459,0.258,0.4928,0.258
300000243,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0.6488,0.1874,0.7589,0.4356,0.671,0.6723,0.6441,0.2838,0.6952,0.7589,0.6952
